species,gram_stain,pathogenicity,notes
Acinetobacter baumannii,Gram-negative,Pathogenic,
Acinetobacter baylyi,Gram-negative,Non-pathogenic,Environmental
Acinetobacter radioresistens,Gram-negative,Non-pathogenic,Environmental
Actinomyces israelii,Gram-positive,Pathogenic,
Alteromonas macleodii,Gram-negative,Non-pathogenic,Marine
Azospirillum brasilense,Gram-negative,Non-pathogenic,Nitrogen-fixing
Bacillus anthracis,Gram-positive,Pathogenic,
Bacillus cereus,Gram-positive,Pathogenic,
Bacillus coagulans,Gram-positive,Non-pathogenic,Probiotic
Bacillus licheniformis,Gram-positive,Non-pathogenic,Industrial
Bacillus subtilis,Gram-positive,Non-pathogenic,Probiotic/Industrial
Bacteroides fragilis,Gram-negative,Pathogenic,Opportunistic
Bifidobacterium animalis,Gram-positive,Non-pathogenic,Probiotic
Bifidobacterium bifidum,Gram-positive,Non-pathogenic,Probiotic
Bifidobacterium breve,Gram-positive,Non-pathogenic,Probiotic
Bifidobacterium longum,Gram-positive,Non-pathogenic,Probiotic
Bordetella pertussis,Gram-negative,Pathogenic,
Bradyrhizobium japonicum,Gram-negative,Non-pathogenic,Nitrogen-fixing
Burkholderia cepacia,Gram-negative,Environmental,Opportunistic pathogen
Burkholderia pseudomallei,Gram-negative,Pathogenic,
Campylobacter coli,Gram-negative,Pathogenic,
Campylobacter jejuni,Gram-negative,Pathogenic,
Chryseobacterium gleum,Gram-negative,Non-pathogenic,Environmental
Clostridium botulinum,Gram-positive,Pathogenic,
Clostridium perfringens,Gram-positive,Pathogenic,
Clostridium septicum,Gram-positive,Pathogenic,Associated with gas gangrene
Clostridium tetani,Gram-positive,Pathogenic,
Corynebacterium diphtheriae,Gram-positive,Pathogenic,
Corynebacterium glutamicum,Gram-positive,Non-pathogenic,Industrial
Cupriavidus metallidurans,Gram-negative,Environmental,Heavy metal resistant
Cutibacterium acnes,Gram-positive,Pathogenic (acne-associated),
Enterobacter cloacae,Gram-negative,Pathogenic,
Enterococcus faecalis,Gram-positive,Pathogenic,
Enterococcus faecium,Gram-positive,Pathogenic,
Enterococcus mundtii,Gram-positive,Non-pathogenic,Commensal
Erysipelothrix rhusiopathiae,Gram-positive,Pathogenic,
Escherichia coli O157:H7,Gram-negative,Pathogenic,
Flavobacterium johnsoniae,Gram-negative,Non-pathogenic,Environmental
Francisella tularensis,Gram-negative,Pathogenic,
Haemophilus influenzae,Gram-negative,Pathogenic,
Helicobacter pylori,Gram-negative,Pathogenic,
Hyphomonas neptunium,Gram-negative,Marine,Stalked bacterium
Klebsiella pneumoniae,Gram-negative,Pathogenic,
Kocuria rhizophila,Gram-positive,Non-pathogenic,Environmental
Lactobacillus acidophilus,Gram-positive,Non-pathogenic,Probiotic
Lactobacillus casei,Gram-positive,Non-pathogenic,Probiotic
Lactobacillus fermentum,Gram-positive,Non-pathogenic,Probiotic
Lactobacillus helveticus,Gram-positive,Dairy starter,Probiotic
Lactobacillus plantarum,Gram-positive,Non-pathogenic,Probiotic
Lactobacillus reuteri,Gram-positive,Non-pathogenic,Probiotic
Lactobacillus rhamnosus,Gram-positive,Non-pathogenic,Probiotic
Lactococcus lactis,Gram-positive,Non-pathogenic,Dairy starter
Legionella pneumophila,Gram-negative,Pathogenic,
Leptospira biflexa,Gram-negative,Non-pathogenic,Saprophytic
Leuconostoc mesenteroides,Gram-positive,Non-pathogenic,Fermentation
Listeria ivanovii,Gram-positive,Pathogenic,
Listeria monocytogenes,Gram-positive,Pathogenic,
Marinobacter hydrocarbonoclasticus,Gram-negative,Non-pathogenic,Hydrocarbon-degrader
Methylobacterium extorquens,Gram-negative,Non-pathogenic,Environmental
Micrococcus luteus,Gram-positive,Non-pathogenic,Environmental
Mycobacterium leprae,Gram-positive (acid-fast),Pathogenic,
Mycobacterium tuberculosis,Gram-positive (acid-fast),Pathogenic,
Neisseria gonorrhoeae,Gram-negative,Pathogenic,
Neisseria meningitidis,Gram-negative,Pathogenic,
Nocardia asteroides,Gram-positive (partially acid-fast),Pathogenic,
Novosphingobium aromaticivorans,Gram-negative,Non-pathogenic,Environmental
Oceanospirillum linum,Gram-negative,Non-pathogenic,Marine
Pediococcus acidilactici,Gram-positive,Non-pathogenic,Fermentation
Peptostreptococcus anaerobius,Gram-positive,Opportunistic Pathogen,
Photobacterium phosphoreum,Gram-negative,Marine,Bioluminescent
Propionibacterium freudenreichii,Gram-positive,Non-pathogenic,Dairy starter
Proteus mirabilis,Gram-negative,Pathogenic,
Providencia stuartii,Gram-negative,Pathogenic,Opportunistic
Pseudomonas aeruginosa,Gram-negative,Pathogenic,
Pseudomonas fluorescens,Gram-negative,Environmental,Non-pathogenic
Pseudomonas putida,Gram-negative,Non-pathogenic,Environmental
Pseudomonas stutzeri,Gram-negative,Non-pathogenic,Environmental
Rhizobium leguminosarum,Gram-negative,Non-pathogenic,Nitrogen-fixing
Rhodobacter sphaeroides,Gram-negative,Non-pathogenic,Photosynthetic
Salmonella enterica,Gram-negative,Pathogenic,
Serratia marcescens,Gram-negative,Pathogenic,
Shewanella oneidensis,Gram-negative,Non-pathogenic,Environmental
Shigella flexneri,Gram-negative,Pathogenic,
