Genus,Species
Escherichia,Escherichia coli
Escherichia,Escherichia albertii
Escherichia,Escherichia fergusonii
Escherichia,Escherichia hermannii
Escherichia,Escherichia marmotae
Shigella,Shigella flexneri
Shigella,Shigella sonnei
Shigella,Shigella boydii
Shigella,Shigella dysenteriae
Salmonella,Salmonella enterica subsp. enterica
Salmonella,Salmonella enterica subsp. arizonae
Salmonella,Salmonella bongori
Salmonella,Salmonella enterica serovar Typhimurium
Salmonella,Salmonella enterica serovar Enteritidis
Klebsiella,Klebsiella pneumoniae
Klebsiella,Klebsiella oxytoca
Klebsiella,Klebsiella variicola
Klebsiella,Klebsiella quasipneumoniae
Klebsiella,Klebsiella michiganensis
Enterobacter,Enterobacter cloacae
Enterobacter,Enterobacter aerogenes
Enterobacter,Enterobacter hormaechei
Enterobacter,Enterobacter asburiae
Enterobacter,Enterobacter bugandensis
Citrobacter,Citrobacter freundii
Citrobacter,Citrobacter koseri
Citrobacter,Citrobacter braakii
Citrobacter,Citrobacter werkmanii
Citrobacter,Citrobacter amalonaticus
Serratia,Serratia marcescens
Serratia,Serratia liquefaciens
Serratia,Serratia fonticola
Serratia,Serratia plymuthica
Serratia,Serratia odorifera
Proteus,Proteus mirabilis
Proteus,Proteus vulgaris
Proteus,Proteus penneri
Proteus,Proteus hauseri
Morganella,Morganella morganii subsp. morganii
Morganella,Morganella morganii subsp. sibonii
Providencia,Providencia stuartii
Providencia,Providencia rettgeri
Providencia,Providencia alcalifaciens
Providencia,Providencia rustigianii
Providencia,Providencia heimbachae
Yersinia,Yersinia pestis
Yersinia,Yersinia enterocolitica
Yersinia,Yersinia pseudotuberculosis
Yersinia,Yersinia rohdei
Yersinia,Yersinia ruckeri
Pantoea,Pantoea agglomerans
Pantoea,Pantoea ananatis
Pantoea,Pantoea dispersa
Pantoea,Pantoea stewartii
Pantoea,Pantoea brenneri
Erwinia,Erwinia amylovora
Erwinia,Erwinia billingiae
Erwinia,Erwinia tracheiphila
Erwinia,Erwinia tasmaniensis
Erwinia,Erwinia persicina
Cronobacter,Cronobacter sakazakii
Cronobacter,Cronobacter malonaticus
Cronobacter,Cronobacter turicensis
Cronobacter,Cronobacter muytjensii
Cronobacter,Cronobacter dublinensis
Pectobacterium,Pectobacterium carotovorum
Pectobacterium,Pectobacterium atrosepticum
Pectobacterium,Pectobacterium parmentieri
Pectobacterium,Pectobacterium brasiliense
Pectobacterium,Pectobacterium wasabiae
Dickeya,Dickeya dadantii
Dickeya,Dickeya solani
Dickeya,Dickeya zeae
Dickeya,Dickeya chrysanthemi
Dickeya,Dickeya dianthicola
Photorhabdus,Photorhabdus luminescens
Photorhabdus,Photorhabdus asymbiotica
Photorhabdus,Photorhabdus temperata
Photorhabdus,Photorhabdus khanii
Photorhabdus,Photorhabdus laumondii
Xenorhabdus,Xenorhabdus nematophila
Xenorhabdus,Xenorhabdus bovienii
Xenorhabdus,Xenorhabdus budapestensis
Xenorhabdus,Xenorhabdus poinarii
Xenorhabdus,Xenorhabdus cabanillasii
Edwardsiella,Edwardsiella tarda
Edwardsiella,Edwardsiella ictaluri
Edwardsiella,Edwardsiella hoshinae
Edwardsiella,Edwardsiella piscicida
Hafnia,Hafnia alvei
Hafnia,Hafnia paralvei
Cedecea,Cedecea davisae
Cedecea,Cedecea lapagei
Cedecea,Cedecea neteri
Obesumbacterium,Obesumbacterium proteus
Other,Leclercia adecarboxylata
Other,Raoultella ornithinolytica
Other,Raoultella planticola
Other,Kluyvera intermedia
Other,Buttiauxella agrestis
